hour,ride_count,anomaly
2019-01-07 10:00:00,11773,1
2019-01-07 11:00:00,11165,1
2019-01-07 12:00:00,12024,1
2019-01-07 13:00:00,11920,1
2019-01-07 14:00:00,13140,1
2019-01-07 15:00:00,14317,1
2019-01-07 16:00:00,12911,1
2019-01-07 17:00:00,14676,1
2019-01-07 18:00:00,16245,1
2019-01-07 19:00:00,14930,1
2019-01-07 20:00:00,12542,1
2019-01-07 21:00:00,10959,1
2019-01-07 22:00:00,8821,1
2019-01-07 23:00:00,6376,1
2019-01-08 00:00:00,3622,1
2019-01-08 01:00:00,1940,1
2019-01-08 02:00:00,1190,1
2019-01-08 03:00:00,890,1
2019-01-08 04:00:00,1075,1
2019-01-08 05:00:00,2590,1
2019-01-08 06:00:00,6961,1
2019-01-08 07:00:00,12091,1
2019-01-08 08:00:00,14606,1
2019-01-08 09:00:00,13073,1
2019-01-08 10:00:00,11764,1
2019-01-08 11:00:00,11568,1
2019-01-08 12:00:00,12157,1
2019-01-08 13:00:00,12344,1
2019-01-08 14:00:00,13516,1
2019-01-08 15:00:00,14040,1
2019-01-08 16:00:00,12669,1
2019-01-08 17:00:00,14660,1
2019-01-08 18:00:00,16194,1
2019-01-08 19:00:00,14972,1
2019-01-08 20:00:00,13986,1
2019-01-08 21:00:00,12975,1
2019-01-08 22:00:00,10308,1
2019-01-08 23:00:00,8119,1
2019-01-09 00:00:00,4306,1
2019-01-09 01:00:00,2234,1
2019-01-09 02:00:00,1420,1
2019-01-09 03:00:00,1074,1
2019-01-09 04:00:00,1190,1
2019-01-09 05:00:00,2621,1
2019-01-09 06:00:00,7219,1
2019-01-09 07:00:00,12637,1
2019-01-09 08:00:00,14663,1
2019-01-09 09:00:00,13377,1
2019-01-09 10:00:00,12207,1
2019-01-09 11:00:00,12226,1
2019-01-09 12:00:00,13276,1
2019-01-09 13:00:00,13017,1
2019-01-09 14:00:00,14270,1
2019-01-09 15:00:00,14903,1
2019-01-09 16:00:00,13324,1
2019-01-09 17:00:00,15566,1
2019-01-09 18:00:00,17768,1
2019-01-09 19:00:00,16520,1
2019-01-09 20:00:00,15992,1
2019-01-09 21:00:00,15058,1
2019-01-09 22:00:00,12565,1
2019-01-09 23:00:00,8435,1
